company,job_title,location,posted_on,posted_date,employment_type,seniority_level
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,SOFTWARE ENGINEER,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,null,null
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Pune, Maharashtra, India",5 days ago,09-08-2024,Full-time,Entry level
Microsoft,Software Engineering: Internship Opportunity,"Maharashtra, India",1 day ago,13-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 day ago,13-08-2024,null,null
Microsoft,Software Engineering: Internship Opportunity,"Telangana, India",1 day ago,13-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Delhi, India",1 day ago,13-08-2024,Full-time,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Haryana, India",1 day ago,13-08-2024,null,null
Microsoft,Business Manager,"Noida, Uttar Pradesh, India",6 days ago,08-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",1 day ago,13-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Internship,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Uttar Pradesh, India",1 day ago,13-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,null,null
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Customer Success Account Manager,Mumbai Metropolitan Region,2 weeks ago,31-07-2024,null,null
Microsoft,Software Engineering: Internship Opportunity,"Andhra Pradesh, India",1 day ago,13-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,null,null
Microsoft,Technical Support Engineering,"Bengaluru, Karnataka, India",3 days ago,11-08-2024,Full-time,Not Applicable
Microsoft,Senior HR Business Partner,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Digital Specialist â€“ Support Solution (India),"Gurgaon, Haryana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer - Backend,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,null
Microsoft,Technical Support Engineering,"Bengaluru, Karnataka, India",3 days ago,11-08-2024,null,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Manipur, India",1 day ago,13-08-2024,Internship,Not Applicable
Microsoft,Designer II,"Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Lakshadweep, India",1 day ago,13-08-2024,Internship,null
Microsoft,Software Engineer,"Karnataka, India",1 day ago,13-08-2024,null,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Uttarakhand, India",1 day ago,13-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,Not Applicable
Microsoft,SOFTWARE ENGINEER,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",2 weeks ago,31-07-2024,Full-time,null
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",2 weeks ago,31-07-2024,null,Not Applicable
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 week ago,07-08-2024,Internship,Not Applicable
Microsoft,Software Engineer,"Hyderabad, Telangana, India",1 week ago,07-08-2024,Full-time,Not Applicable
Microsoft,Software Engineer,"Pune, Maharashtra, India",5 days ago,09-08-2024,Internship,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Maharashtra, India",1 day ago,13-08-2024,Internship,null
Microsoft,Software Engineer,"Bengaluru, Karnataka, India",1 day ago,13-08-2024,null,Not Applicable
Microsoft,Software Engineering: Internship Opportunity,"Telangana, India",1 day ago,13-08-2024,Full-time,Not Applicable
